iter	Passed	Remaining
731	2205	807
732	2208	804
733	2211	801
734	2213	798
735	2216	795
736	2219	792
737	2222	789
738	2225	785
739	2228	782
740	2231	779
741	2234	776
742	2237	773
743	2240	770
744	2242	767
745	2245	764
746	2248	761
747	2251	758
748	2254	755
749	2257	752
750	2260	749
751	2263	746
752	2265	743
753	2268	740
754	2271	737
755	2274	734
756	2277	731
757	2280	728
758	2282	724
759	2285	721
760	2288	718
761	2291	715
762	2295	712
763	2298	710
764	2301	707
765	2304	703
766	2307	700
767	2310	697
768	2313	694
769	2316	691
770	2319	688
771	2321	685
772	2324	682
773	2327	679
774	2330	676
775	2333	673
776	2336	670
777	2339	667
778	2342	664
779	2345	661
780	2348	658
781	2351	655
782	2354	652
783	2356	649
784	2359	646
785	2362	643
786	2365	640
787	2368	637
788	2370	634
789	2373	630
790	2376	627
791	2379	625
792	2382	621
793	2385	618
794	2388	615
795	2391	612
796	2394	609
797	2397	606
798	2400	603
799	2403	600
800	2406	597
801	2409	594
802	2412	591
803	2415	588
804	2417	585
805	2420	582
806	2423	579
807	2425	576
808	2428	573
809	2431	570
810	2434	567
811	2437	564
812	2440	561
813	2443	558
814	2446	555
815	2449	552
816	2451	549
817	2454	546
818	2456	542
819	2459	539
820	2462	536
821	2465	533
822	2468	530
823	2471	527
824	2474	524
825	2477	521
826	2480	518
827	2483	515
828	2486	512
829	2488	509
830	2491	506
831	2494	503
832	2497	500
833	2500	497
834	2503	494
835	2506	491
836	2509	488
837	2512	485
838	2514	482
839	2517	479
840	2520	476
841	2522	473
842	2525	470
843	2528	467
844	2530	464
845	2533	461
846	2536	458
847	2539	455
848	2542	452
849	2544	449
850	2547	446
851	2550	443
852	2553	440
853	2556	437
854	2559	434
855	2562	431
856	2565	428
857	2568	425
858	2571	422
859	2574	419
860	2576	416
861	2579	413
862	2582	409
863	2585	406
864	2588	403
865	2591	400
866	2594	397
867	2597	394
868	2600	391
869	2603	388
870	2606	386
871	2609	383
872	2612	380
873	2615	377
874	2618	374
875	2621	371
876	2624	368
877	2627	365
878	2629	362
879	2632	358
880	2635	355
881	2637	352
882	2640	349
883	2643	346
884	2645	343
885	2648	340
886	2651	337
887	2653	334
888	2656	331
889	2659	328
890	2662	325
891	2665	322
892	2668	319
893	2671	316
894	2674	313
895	2677	310
896	2679	307
897	2682	304
898	2685	301
899	2688	298
900	2691	295
901	2694	292
902	2697	289
903	2700	286
904	2702	283
905	2705	280
906	2708	277
907	2711	274
908	2714	271
909	2717	268
910	2719	265
911	2722	262
912	2725	259
913	2728	256
914	2731	253
915	2749	252
916	2752	249
917	2755	246
918	2758	243
919	2761	240
920	2764	237
921	2767	234
922	2770	231
923	2773	228
924	2776	225
925	2779	222
926	2782	219
927	2785	216
928	2787	213
929	2790	210
930	2793	207
931	2796	204
932	2798	200
933	2801	197
934	2804	194
935	2807	191
936	2810	188
937	2812	185
938	2815	182
939	2818	179
940	2821	176
941	2824	173
942	2827	170
943	2829	167
944	2832	164
945	2835	161
946	2838	158
947	2841	155
948	2844	152
949	2847	149
950	2849	146
951	2852	143
952	2855	140
953	2858	137
954	2861	134
955	2864	131
956	2867	128
957	2870	125
958	2873	122
959	2875	119
960	2878	116
961	2881	113
962	2884	110
963	2887	107
964	2891	104
965	2893	101
966	2896	98
967	2899	95
968	2902	92
969	2905	89
970	2908	86
971	2911	83
972	2914	80
973	2917	77
974	2920	74
975	2923	71
976	2926	68
977	2929	65
978	2932	62
979	2934	59
980	2937	56
981	2940	53
982	2943	50
983	2946	47
984	2949	44
985	2952	41
986	2955	38
987	2958	35
988	2961	32
989	2963	29
990	2966	26
991	2969	23
992	2972	20
993	2975	17
994	2978	14
995	2981	11
996	2984	8
997	2987	5
998	2990	2
999	2993	0
